Dart,DRGN23.BIN/230,0," [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 32]",DRGN23.BIN/230/textures/0
TeleporterOrb,DRGN23.BIN/230,33," [34, 35]",DRGN23.BIN/230/textures/1
StrangeGlow,DRGN23.BIN/230,66," [67]",DRGN23.BIN/230/textures/2
TeleporterGlow,DRGN23.BIN/230,99," [100]",DRGN23.BIN/230/textures/3
Armed Miranda,DRGN23.BIN/230,132," [133, 134]",DRGN23.BIN/230/textures/4
Armed Albert,DRGN23.BIN/230,165," [166, 167]",DRGN23.BIN/230/textures/5
Armed Rose,DRGN23.BIN/230,198," [199, 200]",DRGN23.BIN/230/textures/6
Miranda,DRGN23.BIN/230,231," [232, 233, 234, 235, 236, 237]",DRGN23.BIN/230/textures/7
Meru,DRGN23.BIN/230,264," [265, 266, 267, 268, 269, 270, 271, 272, 273, 274]",DRGN23.BIN/230/textures/8
Albert,DRGN23.BIN/230,297," [298, 299, 300, 301, 302, 303, 304]",DRGN23.BIN/230/textures/9
Rose,DRGN23.BIN/230,330," [331, 332, 333, 334, 335, 336, 337]",DRGN23.BIN/230/textures/10
Armed Dart,DRGN23.BIN/230,363," [364, 365]",DRGN23.BIN/230/textures/11
