Dart,DRGN23.BIN/410,0," [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 32]",DRGN23.BIN/410/textures/0
Miranda,DRGN23.BIN/410,33," [34, 35]",DRGN23.BIN/410/textures/1
Meru,DRGN23.BIN/410,66," [67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80]",DRGN23.BIN/410/textures/2
Rose,DRGN23.BIN/410,99," [100, 101, 102, 103, 104, 105]",DRGN23.BIN/410/textures/3
Albert,DRGN23.BIN/410,132," [133, 134, 135]",DRGN23.BIN/410/textures/4
Haschel,DRGN23.BIN/410,165," [166, 167, 168]",DRGN23.BIN/410/textures/5
Kongol,DRGN23.BIN/410,198," [199, 200, 201]",DRGN23.BIN/410/textures/6
Snowball,DRGN23.BIN/410,231," [232]",DRGN23.BIN/410/textures/7
TreasureChest,DRGN23.BIN/410,264," [265, 266, 267]",DRGN23.BIN/410/textures/8
StrangeGlow,DRGN23.BIN/410,297," [298]",DRGN23.BIN/410/textures/9
