Dart,DRGN23.BIN/416,0," [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 32]",DRGN23.BIN/416/textures/0
Miranda,DRGN23.BIN/416,33," [34, 35]",DRGN23.BIN/416/textures/1
Meru,DRGN23.BIN/416,66," [67, 68, 69]",DRGN23.BIN/416/textures/2
Rose,DRGN23.BIN/416,99," [100, 101, 102, 103, 104, 105, 106, 107, 108]",DRGN23.BIN/416/textures/3
Albert,DRGN23.BIN/416,132," [133, 134, 135]",DRGN23.BIN/416/textures/4
Haschel,DRGN23.BIN/416,165," [166, 167, 168]",DRGN23.BIN/416/textures/5
Kongol,DRGN23.BIN/416,198," [199, 200, 201]",DRGN23.BIN/416/textures/6
Soul Eater,DRGN23.BIN/416,231," [232]",DRGN23.BIN/416/textures/7
TreasureChest,DRGN23.BIN/416,264," [265, 266, 267]",DRGN23.BIN/416/textures/8
Armed Rose,DRGN23.BIN/416,297," [298, 299, 300, 301, 302, 303, 304]",DRGN23.BIN/416/textures/9
Armed Dart,DRGN23.BIN/416,330," [331, 332]",DRGN23.BIN/416/textures/10
Diaz,DRGN23.BIN/416,363," [364, 365, 367, 368, 369, 370, 371]",DRGN23.BIN/416/textures/11
Zieg,DRGN23.BIN/416,396," [401, 402]",DRGN23.BIN/416/textures/12
