Dart,DRGN23.BIN/5,0," [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 32]",DRGN23.BIN/5/textures/0
BaldWarrior,DRGN23.BIN/5,33," [34, 36]",DRGN23.BIN/5/textures/1
Rose,DRGN23.BIN/5,66," [67, 68, 69, 72, 73, 74, 75, 76, 77, 78]",DRGN23.BIN/5/textures/2
Meru,DRGN23.BIN/5,99," [100, 101, 102, 105, 106, 107, 108, 109, 110, 111]",DRGN23.BIN/5/textures/3
Haschel,DRGN23.BIN/5,132," [133, 134, 135, 137, 138, 139, 140]",DRGN23.BIN/5/textures/4
Shana,DRGN23.BIN/5,165," [166, 167, 168, 171, 172, 173, 174, 175, 176]",DRGN23.BIN/5/textures/5
Kongol,DRGN23.BIN/5,198," [199, 200, 201, 203, 204, 205, 206, 207]",DRGN23.BIN/5/textures/6
Albert,DRGN23.BIN/5,231," [232, 233, 234, 237, 238, 239, 240]",DRGN23.BIN/5/textures/7
Serfius,DRGN23.BIN/5,264," [265, 266]",DRGN23.BIN/5/textures/8
BaldWarrior2,DRGN23.BIN/5,297," [298, 299, 300, 303]",DRGN23.BIN/5/textures/9
Sailor,DRGN23.BIN/5,330," [331, 332, 336, 339]",DRGN23.BIN/5/textures/10
Kayla,DRGN23.BIN/5,363," [364, 365, 366, 369, 370, 372]",DRGN23.BIN/5/textures/11
QueenFuryBridge,DRGN23.BIN/5,396," [397, 398, 399, 400]",DRGN23.BIN/5/textures/12
