Dart,DRGN23.BIN/11,0," [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 32]",DRGN23.BIN/11/textures/0
PumpkinRaft,DRGN23.BIN/11,33," [34]",DRGN23.BIN/11/textures/1
MilleSeseauKnight,DRGN23.BIN/11,66," [67, 68, 72, 73, 74, 75]",DRGN23.BIN/11/textures/2
Gorgagas,DRGN23.BIN/11,99," [100, 101, 105, 108, 109, 110]",DRGN23.BIN/11/textures/3
BaldWarrior,DRGN23.BIN/11,132," [133, 134, 135, 138]",DRGN23.BIN/11/textures/4
CardboardDrake,DRGN23.BIN/11,165," [166]",DRGN23.BIN/11/textures/5
CardboardSerfius,DRGN23.BIN/11,198," [199]",DRGN23.BIN/11/textures/6
Atlow,DRGN23.BIN/11,231," [232, 233, 237]",DRGN23.BIN/11/textures/7
OldMaleVillager,DRGN23.BIN/11,264," [265, 270]",DRGN23.BIN/11/textures/8
Fisher,DRGN23.BIN/11,297," [298]",DRGN23.BIN/11/textures/9
MaleVillager,DRGN23.BIN/11,330," [331, 332, 336]",DRGN23.BIN/11/textures/10
OldFemaleVillager,DRGN23.BIN/11,363," [364, 365, 369]",DRGN23.BIN/11/textures/11
CardboardDanton,DRGN23.BIN/11,396," [397]",DRGN23.BIN/11/textures/12
CardboardGreham,DRGN23.BIN/11,429," [430]",DRGN23.BIN/11/textures/13
