Dart,DRGN23.BIN/338,0," [1, 2, 3, 4, 5, 6, 7, 8, 32]",DRGN23.BIN/338/textures/0
TeleporterOrb,DRGN23.BIN/338,33," [34, 35]",DRGN23.BIN/338/textures/1
TeleporterGlow,DRGN23.BIN/338,66," [67]",DRGN23.BIN/338/textures/2
ArmoredLloyd,DRGN23.BIN/338,132," [133, 134, 135]",DRGN23.BIN/338/textures/4
QueenTheresa,DRGN23.BIN/338,165," [166, 167, 168]",DRGN23.BIN/338/textures/5
PrincessWink,DRGN23.BIN/338,198," [199, 200, 201]",DRGN23.BIN/338/textures/6
MilleSeseauKnight,DRGN23.BIN/338,231," [232, 233, 234, 235, 236]",DRGN23.BIN/338/textures/7
PrincessSetie,DRGN23.BIN/338,297," [298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 320, 321, 322, 323, 324]",DRGN23.BIN/338/textures/9
WhiteTreasureChest,DRGN23.BIN/338,330," [331, 332, 333]",DRGN23.BIN/338/textures/10
Dart2,DRGN23.BIN/338,363," [None]",DRGN23.BIN/338/textures/11
