Dart,DRGN23.BIN/353,0," [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 32]",DRGN23.BIN/353/textures/0
TeleporterOrb,DRGN23.BIN/353,33," [34, 35]",DRGN23.BIN/353/textures/1
TeleporterGlow,DRGN23.BIN/353,66," [67]",DRGN23.BIN/353/textures/2
Albert,DRGN23.BIN/353,99," [100, 101, 102, 103, 104, 105, 106]",DRGN23.BIN/353/textures/3
Miranda,DRGN23.BIN/353,132," [133, 134, 135, 136, 137, 138, 139, 140, 141]",DRGN23.BIN/353/textures/4
Kongol,DRGN23.BIN/353,165," [166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176]",DRGN23.BIN/353/textures/5
Rose,DRGN23.BIN/353,198," [199, 200, 201, 202, 203, 204]",DRGN23.BIN/353/textures/6
Haschel,DRGN23.BIN/353,231," [232, 233, 234, 235, 236, 237, 238, 239, 240, 241]",DRGN23.BIN/353/textures/7
Meru,DRGN23.BIN/353,264," [265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277]",DRGN23.BIN/353/textures/8
KeyGlow,DRGN23.BIN/353,297," [298]",DRGN23.BIN/353/textures/9
QueenTheresa,DRGN23.BIN/353,363," [364, 365, 366, 367, 368]",DRGN23.BIN/353/textures/11
MeruFlying,DRGN23.BIN/353,429," [430, 435, 436]",DRGN23.BIN/353/textures/12
