Dart,DRGN23.BIN/482,0," [1, 2, 3, 4, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 32]",DRGN23.BIN/482/textures/0
Diaz,DRGN23.BIN/482,33," [34, 39, 40, 41, 44, 45]",DRGN23.BIN/482/textures/1
ArmoredLloyd,DRGN23.BIN/482,66," [67, 68, 72, 73, 74, 77, 78, 79, 80, 81]",DRGN23.BIN/482/textures/2
Shana,DRGN23.BIN/482,99," [100, 101, 102]",DRGN23.BIN/482/textures/3
Rose,DRGN23.BIN/482,132," [133, 134, 138, 139, 140, 143, 144, 145, 146]",DRGN23.BIN/482/textures/4
Albert,DRGN23.BIN/482,165," [166, 167, 169, 171, 176]",DRGN23.BIN/482/textures/5
DartAndShana,DRGN23.BIN/482,198," [199, 200, 209, 210]",DRGN23.BIN/482/textures/6
MoonGem,DRGN23.BIN/482,231," [232]",DRGN23.BIN/482/textures/7
MoonDagger,DRGN23.BIN/482,264," [265]",DRGN23.BIN/482/textures/8
MoonMirror,DRGN23.BIN/482,297," [298]",DRGN23.BIN/482/textures/9
Fireball,DRGN23.BIN/482,429," [430]",DRGN23.BIN/482/textures/10
