Dart,DRGN23.BIN/176,0," [1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 32]",DRGN23.BIN/176/textures/0
TeleporterOrb,DRGN23.BIN/176,33," [34, 35]",DRGN23.BIN/176/textures/1
Rose,DRGN23.BIN/176,66," [67, 68, 72, 73, 74, 75]",DRGN23.BIN/176/textures/2
Miranda,DRGN23.BIN/176,99," [100, 101, 102, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116]",DRGN23.BIN/176/textures/3
AncestorBlano,DRGN23.BIN/176,132," [133, 134, 138, 139, 140, 141, 142, 143, 144, 145, 146]",DRGN23.BIN/176/textures/4
Meru,DRGN23.BIN/176,165," [166, 167, 168, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181]",DRGN23.BIN/176/textures/5
Albert,DRGN23.BIN/176,198," [199, 200, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214]",DRGN23.BIN/176/textures/6
Kongol,DRGN23.BIN/176,231," [232, 233, 236, 238, 240, 241]",DRGN23.BIN/176/textures/7
TeleporterGlow,DRGN23.BIN/176,264," [265]",DRGN23.BIN/176/textures/8
RockyCylinder,DRGN23.BIN/176,330," [331]",DRGN23.BIN/176/textures/9
Dart2,DRGN23.BIN/176,363," [378, 379]",DRGN23.BIN/176/textures/10
