Dart,DRGN23.BIN/173,0," [1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 32]",DRGN23.BIN/173/textures/0
TeleporterOrb,DRGN23.BIN/173,33," [34, 35]",DRGN23.BIN/173/textures/1
Meru,DRGN23.BIN/173,66," [67, 68, 69, 70, 72, 73, 74, 75, 77, 78]",DRGN23.BIN/173/textures/2
Rose,DRGN23.BIN/173,99," [100, 101, 105, 106, 107, 108, 109]",DRGN23.BIN/173/textures/3
Bardel,DRGN23.BIN/173,132," [133, 134, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162]",DRGN23.BIN/173/textures/4
DartDragoon,DRGN23.BIN/173,198," [199, 200, 207]",DRGN23.BIN/173/textures/6
Flare,DRGN23.BIN/173,231," [232]",DRGN23.BIN/173/textures/7
Fireball,DRGN23.BIN/173,264," [265]",DRGN23.BIN/173/textures/8
WinglyConjuringAlphabet,DRGN23.BIN/173,297," [298]",DRGN23.BIN/173/textures/9
OldFemaleWingly,DRGN23.BIN/173,330," [331, 332, 336, 337, 338]",DRGN23.BIN/173/textures/10
FemaleWingly,DRGN23.BIN/173,363," [364, 365, 369, 370, 371]",DRGN23.BIN/173/textures/11
MaleWingly,DRGN23.BIN/173,396," [397, 398, 402]",DRGN23.BIN/173/textures/12
TeleporterGlow,DRGN23.BIN/173,429," [430]",DRGN23.BIN/173/textures/13
