Dart,DRGN24.BIN/617,0," [1, 2, 3, 4, 5, 6, 32]",DRGN24.BIN/617/textures/0
TeleporterOrb,DRGN24.BIN/617,33," [34, 35]",DRGN24.BIN/617/textures/1
Ruff,DRGN24.BIN/617,66," [67, 68]",DRGN24.BIN/617/textures/2
Rose,DRGN24.BIN/617,99," [100, 101, 102, 103]",DRGN24.BIN/617/textures/3
Miranda,DRGN24.BIN/617,132," [133, 134, 135, 136, 137, 138, 139, 140, 141, 142]",DRGN24.BIN/617/textures/4
Meru,DRGN24.BIN/617,165," [166, 167, 168, 169, 170, 171, 172]",DRGN24.BIN/617/textures/5
Albert,DRGN24.BIN/617,198," [199, 200, 201]",DRGN24.BIN/617/textures/6
Haschel,DRGN24.BIN/617,231," [232, 233, 234]",DRGN24.BIN/617/textures/7
Kongol,DRGN24.BIN/617,264," [265, 266, 267, 268, 269, 270]",DRGN24.BIN/617/textures/8
KeyGlow,DRGN24.BIN/617,297," [298]",DRGN24.BIN/617/textures/9
TeleporterGlow,DRGN24.BIN/617,330," [331]",DRGN24.BIN/617/textures/10
Dart2,DRGN24.BIN/617,363," [None]",DRGN24.BIN/617/textures/11
TeleporterGate,DRGN24.BIN/617,396," [397, 398, 399]",DRGN24.BIN/617/textures/12
