Dart,DRGN24.BIN/887,0," [1]",DRGN24.BIN/887/textures/0
Spino,DRGN24.BIN/887,33," [34, 35, 36, 37, 38, 39, 40]",DRGN24.BIN/887/textures/1
Ruff,DRGN24.BIN/887,66," [67, 68, 69, 70, 71, 72]",DRGN24.BIN/887/textures/2
StrangeGlow,DRGN24.BIN/887,99," [100]",DRGN24.BIN/887/textures/3
MirrorFume,DRGN24.BIN/887,165," [166]",DRGN24.BIN/887/textures/5
Haschel,DRGN24.BIN/887,231," [232, 233, 234, 235]",DRGN24.BIN/887/textures/7
Rose,DRGN24.BIN/887,264," [265, 266, 267]",DRGN24.BIN/887/textures/8
KeyGlow,DRGN24.BIN/887,330," [331]",DRGN24.BIN/887/textures/10
Empty,DRGN24.BIN/887,363," [364]",DRGN24.BIN/887/textures/11
Savan,DRGN24.BIN/887,396," [397, 398, 399]",DRGN24.BIN/887/textures/12
