KeyGlow,DRGN24.BIN/647,0," [1]",DRGN24.BIN/647/textures/0
Armed Kongol,DRGN24.BIN/647,66," [67, 68, 69, 70, 71, 72, 73, 74, 75]",DRGN24.BIN/647/textures/2
Doel,DRGN24.BIN/647,99," [100, 101, 102, 103, 104, 105, 106]",DRGN24.BIN/647/textures/3
Armed Rose,DRGN24.BIN/647,132," [133, 134, 135, 136, 137, 138, 139, 140, 141]",DRGN24.BIN/647/textures/4
Miranda,DRGN24.BIN/647,198," [199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213]",DRGN24.BIN/647/textures/6
Buckle,DRGN24.BIN/647,231," [232, 233]",DRGN24.BIN/647/textures/7
Albert,DRGN24.BIN/647,264," [265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282]",DRGN24.BIN/647/textures/8
MinisterNoish,DRGN24.BIN/647,297," [298, 299, 300]",DRGN24.BIN/647/textures/9
Rose,DRGN24.BIN/647,363," [364, 365, 366]",DRGN24.BIN/647/textures/11
Savan,DRGN24.BIN/647,396," [397, 398, 399, 400, 401, 402, 403, 404, 405, 406, 407]",DRGN24.BIN/647/textures/12
