Dart,DRGN24.BIN/620,0," [1, 2, 3, 4, 5, 6, 32]",DRGN24.BIN/620/textures/0
LandTeleporterOrb,DRGN24.BIN/620,33," [34]",DRGN24.BIN/620/textures/1
TeleporterGlow,DRGN24.BIN/620,66," [67]",DRGN24.BIN/620/textures/2
Rose,DRGN24.BIN/620,99," [100, 101, 102, 103]",DRGN24.BIN/620/textures/3
Meru,DRGN24.BIN/620,132," [133, 134, 135, 136]",DRGN24.BIN/620/textures/4
Albert,DRGN24.BIN/620,165," [166, 167, 168, 169]",DRGN24.BIN/620/textures/5
Haschel,DRGN24.BIN/620,198," [199, 200, 201, 202]",DRGN24.BIN/620/textures/6
Miranda,DRGN24.BIN/620,231," [232, 233, 234, 235]",DRGN24.BIN/620/textures/7
Kongol,DRGN24.BIN/620,264," [265, 266, 267, 268]",DRGN24.BIN/620/textures/8
LandTeleporterOrb2,DRGN24.BIN/620,297," [298]",DRGN24.BIN/620/textures/9
