Dart,DRGN24.BIN/443,0," [1, 2, 3, 7, 8, 11, 12, 13, 14, 32]",DRGN24.BIN/443/textures/0
TeleporterOrb,DRGN24.BIN/443,33," [34, 35]",DRGN24.BIN/443/textures/1
Rose,DRGN24.BIN/443,66," [67, 68, 72, 73, 74, 77, 78, 79, 80, 81, 82, 83, 84]",DRGN24.BIN/443/textures/2
Albert,DRGN24.BIN/443,99," [100, 101, 105, 106, 107, 110]",DRGN24.BIN/443/textures/3
Haschel,DRGN24.BIN/443,132," [133, 134, 138, 139, 140, 143, 144, 145, 146]",DRGN24.BIN/443/textures/4
Meru,DRGN24.BIN/443,165," [166, 167, 171, 172, 173]",DRGN24.BIN/443/textures/5
Miranda,DRGN24.BIN/443,198," [199, 200]",DRGN24.BIN/443/textures/6
Kongol,DRGN24.BIN/443,231," [232, 233]",DRGN24.BIN/443/textures/7
MeruFlying,DRGN24.BIN/443,264," [265, 266, 267, 268]",DRGN24.BIN/443/textures/8
WhiteTreasureChest,DRGN24.BIN/443,396," [397, 398, 399]",DRGN24.BIN/443/textures/9
