Dart,DRGN24.BIN/683,0," [1, 2, 3, 4, 5, 6, 7, 32]",DRGN24.BIN/683/textures/0
Miranda,DRGN24.BIN/683,33," [34, 35, 36, 37]",DRGN24.BIN/683/textures/1
Meru,DRGN24.BIN/683,66," [67, 68, 69, 70]",DRGN24.BIN/683/textures/2
Rose,DRGN24.BIN/683,99," [100, 101, 102, 103]",DRGN24.BIN/683/textures/3
Albert,DRGN24.BIN/683,132," [133, 134, 135, 136]",DRGN24.BIN/683/textures/4
Haschel,DRGN24.BIN/683,165," [166, 167, 168, 169]",DRGN24.BIN/683/textures/5
Kongol,DRGN24.BIN/683,198," [199, 200, 201, 202, 228, 229]",DRGN24.BIN/683/textures/6
Dart2,DRGN24.BIN/683,231," [None]",DRGN24.BIN/683/textures/7
FlyingVirage,DRGN24.BIN/683,264," [265]",DRGN24.BIN/683/textures/8
StrangeGlow,DRGN24.BIN/683,297," [298]",DRGN24.BIN/683/textures/9
