Dart1,DRGN24.BIN/902,0," [1, 2, 3, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 32]",DRGN24.BIN/902/textures/0
Rose1,DRGN24.BIN/902,33," [34, 35, 36, 39, 40, 41, 44, 45, 46, 47, 48, 49, 50, 51]",DRGN24.BIN/902/textures/1
Albert1,DRGN24.BIN/902,66," [67, 68, 69, 72, 73, 74, 77, 78, 79]",DRGN24.BIN/902/textures/2
Zieg,DRGN24.BIN/902,99," [100, 110, 111, 112, 116, 117, 118, 119, 120, 121, 122, 123, 124]",DRGN24.BIN/902/textures/3
Armed Dart,DRGN24.BIN/902,132," [133, 134, 135, 143, 144, 147, 148, 153, 154, 155, 156]",DRGN24.BIN/902/textures/4
Armed Rose,DRGN24.BIN/902,165," [166, 167, 168, 176, 177, 178, 179, 180, 181, 182]",DRGN24.BIN/902/textures/5
Armed Albert,DRGN24.BIN/902,198," [199, 200, 201, 209, 210]",DRGN24.BIN/902/textures/6
DartDragoon,DRGN24.BIN/902,231," [232, 244, 245, 246, 247, 248]",DRGN24.BIN/902/textures/7
TeleportOrb,DRGN24.BIN/902,264," [265]",DRGN24.BIN/902/textures/8
Exploding Smoke,DRGN24.BIN/902,297," [298]",DRGN24.BIN/902/textures/9
MoonGem,DRGN24.BIN/902,330," [331]",DRGN24.BIN/902/textures/10
