Dart,DRGN24.BIN/968,0," [1, 2, 3, 7, 8, 11, 12, 13, 14, 15, 16, 32]",DRGN24.BIN/968/textures/0
Rose,DRGN24.BIN/968,33," [34, 35, 39, 40, 41, 44, 45, 46]",DRGN24.BIN/968/textures/1
Albert,DRGN24.BIN/968,66," [67, 68, 72, 73, 74]",DRGN24.BIN/968/textures/2
Meru,DRGN24.BIN/968,99," [100, 101, 105, 106, 107, 110, 111, 112, 113]",DRGN24.BIN/968/textures/3
Haschel,DRGN24.BIN/968,132," [133, 134, 138, 139, 140, 143]",DRGN24.BIN/968/textures/4
Miranda,DRGN24.BIN/968,165," [166, 167, 171, 172, 173, 176]",DRGN24.BIN/968/textures/5
Kongol,DRGN24.BIN/968,198," [199, 200, 204, 205, 206, 209, 210, 211, 212, 213]",DRGN24.BIN/968/textures/6
CardboardShana,DRGN24.BIN/968,231," [232]",DRGN24.BIN/968/textures/7
CardboardZieg,DRGN24.BIN/968,264," [265]",DRGN24.BIN/968/textures/8
CardboardMelbuFrahma,DRGN24.BIN/968,297," [298]",DRGN24.BIN/968/textures/9
