Dart,DRGN24.BIN/971,0," [1, 2, 3, 7, 8, 11, 12, 13, 14, 15]",DRGN24.BIN/971/textures/0
MelbuFrahmaGOD,DRGN24.BIN/971,33," [34, 39, 40, 41]",DRGN24.BIN/971/textures/1
Armed Rose,DRGN24.BIN/971,66," [67, 68, 69, 77, 78]",DRGN24.BIN/971/textures/2
Armed Albert,DRGN24.BIN/971,99," [100, 101, 102, 110]",DRGN24.BIN/971/textures/3
Haschel,DRGN24.BIN/971,132," [133, 134, 135, 143]",DRGN24.BIN/971/textures/4
Armed Meru,DRGN24.BIN/971,165," [166, 167, 176]",DRGN24.BIN/971/textures/5
Armed Kongol,DRGN24.BIN/971,198," [199, 200, 201, 209]",DRGN24.BIN/971/textures/6
Armed Miranda,DRGN24.BIN/971,231," [232, 233, 242]",DRGN24.BIN/971/textures/7
Armed Dart,DRGN24.BIN/971,264," [265, 266, 275]",DRGN24.BIN/971/textures/8
MelbuFrahmaTentacle,DRGN24.BIN/971,297," [298]",DRGN24.BIN/971/textures/9
