Dart,DRGN24.BIN/728,0," [1, 2, 3, 12, 13, 14, 15, 32]",DRGN24.BIN/728/textures/0
Miranda,DRGN24.BIN/728,33," [34, 35, 36, 45]",DRGN24.BIN/728/textures/1
Albert,DRGN24.BIN/728,66," [67, 68, 69, 77, 78, 79, 80, 81, 98]",DRGN24.BIN/728/textures/2
Rose,DRGN24.BIN/728,99," [100, 101, 102, 110, 111]",DRGN24.BIN/728/textures/3
Haschel,DRGN24.BIN/728,132," [133, 134, 135, 144, 145]",DRGN24.BIN/728/textures/4
Meru,DRGN24.BIN/728,165," [166, 167, 168, 177, 178, 179, 180]",DRGN24.BIN/728/textures/5
Claire,DRGN24.BIN/728,198," [199, 200, 201]",DRGN24.BIN/728/textures/6
MaleMininto1,DRGN24.BIN/728,231," [232, 233, 234, 242]",DRGN24.BIN/728/textures/7
FemaleMininto1,DRGN24.BIN/728,264," [265, 266, 267, 275]",DRGN24.BIN/728/textures/8
FemaleMininto2,DRGN24.BIN/728,297," [298, 299, 300, 308]",DRGN24.BIN/728/textures/9
StrangeGlow,DRGN24.BIN/728,330," [331]",DRGN24.BIN/728/textures/10
TreasureChest,DRGN24.BIN/728,429," [430, 431, 432]",DRGN24.BIN/728/textures/13
