Dart,DRGN24.BIN/803,0," [1, 2, 3, 4, 5, 6, 7]",DRGN24.BIN/803/textures/0
Haschel,DRGN24.BIN/803,33," [34, 35, 36, 37, 38, 39]",DRGN24.BIN/803/textures/1
Meru,DRGN24.BIN/803,66," [67, 68, 69, 70, 71, 72, 73, 74]",DRGN24.BIN/803/textures/2
Albert,DRGN24.BIN/803,99," [100, 101, 102, 103, 104]",DRGN24.BIN/803/textures/3
Miranda,DRGN24.BIN/803,132," [133, 134, 135, 136, 137, 138]",DRGN24.BIN/803/textures/4
Rose,DRGN24.BIN/803,165," [166, 167, 168, 169, 170, 171, 172, 173, 174]",DRGN24.BIN/803/textures/5
StrangeGlow,DRGN24.BIN/803,198," [199]",DRGN24.BIN/803/textures/6
MaleVillager1,DRGN24.BIN/803,231," [232, 233, 234, 235, 236, 237]",DRGN24.BIN/803/textures/7
MaleVillager2,DRGN24.BIN/803,264," [265, 266, 267, 268]",DRGN24.BIN/803/textures/8
MaleVillager3,DRGN24.BIN/803,297," [298, 299, 300, 301, 302, 303]",DRGN24.BIN/803/textures/9
