Dart,DRGN24.BIN/593,0," [1, 2, 3, 4, 5, 6, 7, 8, 9, 32]",DRGN24.BIN/593/textures/0
Raft,DRGN24.BIN/593,33," [34]",DRGN24.BIN/593/textures/1
ChildMaleVillager,DRGN24.BIN/593,66," [67, 68, 69, 70, 71]",DRGN24.BIN/593/textures/2
FemaleVillager,DRGN24.BIN/593,99," [100, 101, 105]",DRGN24.BIN/593/textures/3
MaleVillager,DRGN24.BIN/593,132," [133, 134, 135]",DRGN24.BIN/593/textures/4
ChildFemaleVillager,DRGN24.BIN/593,165," [166, 167, 171]",DRGN24.BIN/593/textures/5
ChildMaleVillager2,DRGN24.BIN/593,231," [232, 233]",DRGN24.BIN/593/textures/7
CardboardMaleVillager,DRGN24.BIN/593,264," [265]",DRGN24.BIN/593/textures/8
CardboardMaleVillager2,DRGN24.BIN/593,297," [298]",DRGN24.BIN/593/textures/9
CardboardFemaleVillager,DRGN24.BIN/593,330," [331]",DRGN24.BIN/593/textures/10
CardboardMaleVillager3,DRGN24.BIN/593,363," [None]",DRGN24.BIN/593/textures/11
