Meru,DRGN24.BIN/404,0," [1, 2, 3, 4]",DRGN24.BIN/404/textures/0
Guaraha,DRGN24.BIN/404,33," [34, 35, 36, 37, 38]",DRGN24.BIN/404/textures/1
Jar,DRGN24.BIN/404,66," [67, 68]",DRGN24.BIN/404/textures/2
StrangeGlow,DRGN24.BIN/404,99," [100]",DRGN24.BIN/404/textures/3
Pelpee,DRGN24.BIN/404,132," [133, 134, 135]",DRGN24.BIN/404/textures/4
BlueBird,DRGN24.BIN/404,165," [166]",DRGN24.BIN/404/textures/5
OldMaleVillager,DRGN24.BIN/404,198," [199]",DRGN24.BIN/404/textures/6
MaleVillager,DRGN24.BIN/404,231," [232, 233]",DRGN24.BIN/404/textures/7
OldFemaleVillager,DRGN24.BIN/404,264," [265, 266, 267, 268, 269]",DRGN24.BIN/404/textures/8
MeruShadow,DRGN24.BIN/404,297," [298]",DRGN24.BIN/404/textures/9
