Dart,DRGN24.BIN/491,0," [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 32]",DRGN24.BIN/491/textures/0
TeleporterOrb,DRGN24.BIN/491,33," [34, 35]",DRGN24.BIN/491/textures/1
FlyingPlatform,DRGN24.BIN/491,66," [67]",DRGN24.BIN/491/textures/2
Rose,DRGN24.BIN/491,99," [100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111]",DRGN24.BIN/491/textures/3
Albert,DRGN24.BIN/491,132," [133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143]",DRGN24.BIN/491/textures/4
MeruFlying,DRGN24.BIN/491,165," [166, 167, 168, 169, 170, 171]",DRGN24.BIN/491/textures/5
Haschel,DRGN24.BIN/491,198," [199, 200, 201, 202, 203, 204, 205, 206, 207]",DRGN24.BIN/491/textures/6
Miranda,DRGN24.BIN/491,231," [232, 233, 234, 235, 236, 237, 238, 239]",DRGN24.BIN/491/textures/7
Kongol,DRGN24.BIN/491,264," [265, 266]",DRGN24.BIN/491/textures/8
Lapto,DRGN24.BIN/491,297," [298]",DRGN24.BIN/491/textures/9
LawPod,DRGN24.BIN/491,330," [331]",DRGN24.BIN/491/textures/10
Coolon,DRGN24.BIN/491,363," [364, 365]",DRGN24.BIN/491/textures/11
Meru,DRGN24.BIN/491,396," [397, 398, 399, 400, 401, 402, 403, 404, 405, 406, 407, 408]",DRGN24.BIN/491/textures/12
CardboardLapto,DRGN24.BIN/491,429," [430]",DRGN24.BIN/491/textures/13
