Dart,DRGN24.BIN/926,0," [1, 2, 3, 4, 5, 6, 7, 32]",DRGN24.BIN/926/textures/0
Rose,DRGN24.BIN/926,33," [34, 35, 36, 37, 38, 39, 40]",DRGN24.BIN/926/textures/1
Albert,DRGN24.BIN/926,66," [67, 68, 69, 70, 71]",DRGN24.BIN/926/textures/2
Meru,DRGN24.BIN/926,99," [100, 101, 102, 103, 104]",DRGN24.BIN/926/textures/3
Haschel,DRGN24.BIN/926,132," [133, 134, 135, 136, 137]",DRGN24.BIN/926/textures/4
Miranda,DRGN24.BIN/926,165," [166, 167, 168, 169, 170]",DRGN24.BIN/926/textures/5
Kongol,DRGN24.BIN/926,198," [199, 200, 201, 202, 203]",DRGN24.BIN/926/textures/6
Nomus,DRGN24.BIN/926,231," [232]",DRGN24.BIN/926/textures/7
KeyGlow,DRGN24.BIN/926,264," [265]",DRGN24.BIN/926/textures/8
Armed Dart,DRGN24.BIN/926,297," [298, 299]",DRGN24.BIN/926/textures/9
Armed Rose,DRGN24.BIN/926,330," [331, 332]",DRGN24.BIN/926/textures/10
Armed Albert,DRGN24.BIN/926,363," [364, 365, 366]",DRGN24.BIN/926/textures/11
Lapto,DRGN24.BIN/926,396," [397]",DRGN24.BIN/926/textures/12
